ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
316;P;BERISHA E;6;0;1;0;0;0;0;0;0;0;0;0;0
695;D;TOLOI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
1847;D;CALDARA;6;0;0;0;0;0;0;1;0;0;0;0;0
2197;D;CASTAGNE;6.5;0;0;0;0;0;0;1;0;0;0;0;0
2160;D;GOSENS;6;0;0;0;0;0;0;0;0;0;0;0;0
2130;D;HATEBOER;6;0;0;0;0;0;0;0;0;0;0;0;0
15;D;MASIELLO A;6;0;0;0;0;0;0;0;0;0;0;0;0
2181;D;PALOMINO;6*;0;0;0;0;0;0;0;0;0;0;0;0
779;C;CRISTANTE;7.5;1;0;0;0;0;0;0;0;1;0;1;0
788;C;FREULER;6;0;0;0;0;0;0;1;0;0;0;0;0
22;C;DE ROON;6;0;0;0;0;0;0;0;0;0;0;0;0
177;C;ILICIC;7;1;0;0;0;0;0;0;0;0;0;0;0
2719;A;BARROW;7;1;0;0;0;0;0;0;0;0;0;0;0
26;A;GOMEZ A;6.5;0;0;0;0;0;0;0;0;1;0;0;0
684;ALL;GASPERINI;7;0;0;0;0;0;0;0;0;0;0;0;0
BENEVENTO;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
481;P;BRIGNOLI;6;0;3;0;0;0;0;0;0;0;0;0;0
787;D;DJIMSITI;5;0;0;0;0;0;0;0;0;0;0;0;0
2239;D;GYAMFI;6*;0;0;0;0;0;0;0;0;0;0;0;0
2720;D;SAGNA;7;1;0;0;0;0;0;0;0;0;0;0;1
2174;D;VENUTI;5;0;0;0;0;0;0;1;0;1;0;0;0
2662;D;TOSCA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
333;C;CATALDI;4.5;0;0;0;0;0;0;0;1;0;0;0;0
