ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
316;P;BERISHA E;6;0;1;0;0;0;0;0;0;0;0;0;0
1847;D;CALDARA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2197;D;CASTAGNE;6;0;0;0;0;0;0;0;0;0;0;0;0
2160;D;GOSENS;6.5;0;0;0;0;0;0;1;0;0;0;0;0
2130;D;HATEBOER;6*;0;0;0;0;0;0;0;0;0;0;0;0
15;D;MASIELLO A;7;1;0;0;0;0;0;1;0;0;0;0;1
695;D;TOLOI;4.5;0;0;0;0;0;0;0;1;0;0;0;0
779;C;CRISTANTE;6.5;0;0;0;0;0;0;0;0;0;0;0;0
788;C;FREULER;6;0;0;0;0;0;0;0;0;0;0;0;0
2161;C;HAAS;5.5;0;0;0;0;0;0;0;0;0;0;0;0
177;C;ILICIC;7;0;0;0;0;0;0;1;0;1;0;0;0
22;C;DE ROON;5.5;0;0;0;0;0;0;1;0;0;0;0;0
26;A;GOMEZ A;6;0;0;0;0;0;0;0;0;0;0;0;0
2719;A;BARROW;5.5;0;0;0;0;0;0;0;0;0;0;0;0
684;ALL;GASPERINI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
BENEVENTO;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
483;P;PUGGIONI;7;0;0;0;0;0;0;0;0;0;0;0;0
2720;D;SAGNA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
787;D;DJIMSITI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2239;D;GYAMFI;6;0;0;0;0;0;0;0;0;0;0;0;0
74;D;LETIZIA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2662;D;TOSCA;6;0;0;0;0;0;0;0;0;0;0;0;0
2646;C;SANDRO;6.5;0;0;0;0;0;0;0;0;0;0;0;0
333;C;CATALDI;5.5;0;0;0;0;0;0;1;0;0;0;0;0
440;C;VIOLA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2649;A;DIABATE';7;1;0;0;0;0;0;0;0;0;0;1;0
2733;A;SANOGO;6*;0;0;0;0;0;0;0;0;0;0;0;0
1982;A;PARIGINI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2190;A;CODA M;6;0;0;0;0;0;0;0;0;0;0;0;0
2317;A;BRIGNOLA;6.5;0;0;0;0;0;0;0;0;1;0;0;0
2093;ALL;DE ZERBI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
41;P;MIRANTE;6;0;2;0;0;0;0;0;0;0;0;0;0
615;D;HELANDER;5;0;0;0;0;0;0;1;0;0;0;0;0
49;D;MASINA;6;0;0;0;0;0;0;0;0;0;0;0;0
50;D;MBAYE;5.5;0;0;0;0;0;0;0;0;0;0;0;0
224;D;DE MAIO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
669;C;DONSAH;6;0;0;0;0;0;0;0;0;0;0;0;0
2210;C;FALLETTI;6;0;0;0;0;0;0;0;0;0;0;0;0
374;C;POLI;6;0;0;0;0;0;0;0;0;0;0;0;0
644;C;PULGAR;6.5;0;0;0;0;0;0;0;0;0;0;0;0
713;C;DZEMAILI;5;0;0;0;0;0;0;0;0;0;0;0;0
376;C;VERDI;7;0;0;0;0;1;0;0;0;0;0;0;0
472;A;DESTRO;5;0;0;0;0;0;0;0;0;0;0;0;0
280;A;PALACIO;5;0;0;0;0;0;0;0;0;0;0;0;0
2650;A;AVENATTI;5;0;0;0;0;0;0;0;0;0;0;0;0
760;ALL;DONADONI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
CAGLIARI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
2178;P;CRAGNO;6;0;0;0;0;0;0;0;0;0;0;0;0
251;D;ANDREOLLI;6*;0;0;0;0;0;0;0;0;0;0;0;0
1866;D;CEPPITELLI;7;0;0;0;0;0;0;1;0;0;0;0;0
301;D;PADOIN;7;0;0;0;0;0;0;0;0;0;0;0;0
2653;D;LYKOGIANNIS;7;0;0;0;0;0;0;0;0;0;1;0;0
1869;D;PISACANE;6.5;0;0;0;0;0;0;0;0;0;0;0;0
1870;C;BARELLA;6;0;0;0;0;0;0;1;0;0;0;0;0
1871;C;DEIOLA;6;0;0;0;0;0;0;0;0;0;0;0;0
1872;C;DESSENA;6*;0;0;0;0;0;0;0;0;0;0;0;0
2116;C;FARAGO';6.5;0;0;0;0;0;0;0;0;0;0;0;0
627;C;IONITA;6;0;0;0;0;0;0;0;0;0;0;0;0
1874;C;JOAO PEDRO;6.5;0;0;0;0;0;0;0;0;0;0;0;0
247;A;PAVOLETTI;7;1;0;0;0;0;0;1;0;0;0;1;0
1879;A;FARIAS;5;0;0;0;0;0;0;0;0;0;0;0;0
2125;ALL;LOPEZ D;7;0;0;0;0;0;0;0;0;0;0;0;0
CHIEVO;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
413;P;SORRENTINO;7;0;1;0;0;0;0;0;0;0;0;0;0
169;D;TOMOVIC;6.5;0;0;0;0;0;0;0;0;0;0;0;0
100;D;CESAR;6*;0;0;0;0;0;0;0;0;0;0;0;0
101;D;DAINELLI;7;0;0;0;0;0;0;1;0;0;0;0;0
2141;D;DEPAOLI;6;0;0;0;0;0;0;0;0;0;0;0;0
105;D;GOBBI;6;0;0;0;0;0;0;0;0;0;0;0;0
702;C;GIACCHERINI;7;1;0;0;0;0;0;1;0;0;0;0;0
115;C;HETEMAJ;5.5;0;0;0;0;0;0;1;0;0;0;0;0
119;C;RIGONI N;6;0;0;0;0;0;0;1;0;0;0;0;0
2072;C;BASTIEN;6;0;0;0;0;0;0;0;0;0;0;0;0
111;C;BIRSA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
112;C;CASTRO;6.5;0;0;0;0;0;0;0;0;1;0;0;0
123;A;INGLESE;7;1;0;0;0;0;0;0;0;0;0;1;0
2327;A;STEPINSKI;6*;0;0;0;0;0;0;0;0;0;0;0;0
2730;ALL;D'ANNA;7;0;0;0;0;0;0;0;0;0;0;0;0
CROTONE;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
1889;P;CORDAZ;7;0;2;0;0;0;0;0;0;0;0;0;0
1865;D;CAPUANO;6;0;0;0;0;0;0;0;0;0;0;0;0
1891;D;CECCHERINI;6.5;1;0;0;0;0;0;0;0;0;0;0;0
581;D;FARAONI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
1896;D;MARTELLA;6.5;0;0;0;0;0;0;0;0;1;0;0;0
1898;D;SAMPIRISI;5;0;0;0;0;0;0;0;0;0;0;0;0
1901;C;BARBERIS;6.5;0;0;0;0;0;0;0;0;0;1;0;0
1933;C;MANDRAGORA;6;0;0;0;0;0;0;0;0;0;0;0;0
1906;C;NALINI;6.5;0;0;0;0;0;0;1;0;0;0;0;0
2014;C;ROHDEN;5.5;0;0;0;0;0;0;0;0;0;0;0;0
121;C;STOIAN;5.5;0;0;0;0;0;0;0;0;0;0;0;0
1997;A;SIMY;7;1;0;0;0;0;0;0;0;0;0;0;0
789;A;TROTTA;6;0;0;0;0;0;0;0;0;0;0;0;0
2013;A;RICCI;6*;0;0;0;0;0;0;0;0;0;0;0;0
690;ALL;ZENGA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
FIORENTINA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
4;P;SPORTIELLO;5;0;1;0;0;0;0;0;0;0;0;0;0
141;D;LAURINI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2309;D;PEZZELLA GER;6;0;0;0;0;0;0;1;0;0;0;0;0
2164;D;MILENKOVIC;5.5;0;0;0;0;0;0;0;0;0;0;0;0
252;D;BIRAGHI;5;0;0;0;0;0;0;1;0;0;0;0;0
170;C;BADELJ;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2002;C;CHIESA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2290;C;EYSSERIC;5.5;0;0;0;0;0;0;0;0;0;0;0;0
150;C;SAPONARA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2215;C;VERETOUT;4.5;0;0;0;0;0;0;0;1;0;0;0;0
557;C;BENASSI;5;0;0;0;0;0;0;0;0;0;0;0;0
2301;C;GIL DIAS;6*;0;0;0;0;0;0;0;0;0;0;0;0
532;A;FALCINELLI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2061;A;SIMEONE;5;0;0;0;0;0;0;0;0;0;0;0;0
676;ALL;PIOLI;5;0;0;0;0;0;0;0;1;0;0;0;0
GENOA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
217;P;LAMANNA;6.5;0;1;0;0;0;0;0;0;0;0;0;0
78;D;SPOLLI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2083;D;BIRASCHI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
226;D;IZZO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2664;D;EL YAMIQ;6;0;0;0;0;0;0;0;0;0;0;0;0
198;D;ROSI;6;0;0;0;0;0;0;0;0;0;0;0;0
366;C;BERTOLACCI;5.5;0;0;0;0;0;0;1;0;0;0;0;0
232;C;COFIE;5;0;0;0;0;0;0;0;0;0;0;0;0
433;C;HILJEMARK;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2658;C;MEDEIROS;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2293;C;OMEONGA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2304;A;SALCEDO E;6;0;0;0;0;0;0;0;0;0;0;0;0
1939;A;LAPADULA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
187;A;ROSSI;6;0;0;0;0;0;0;0;0;0;0;0;0
762;ALL;BALLARDINI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
INTER;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
250;P;HANDANOVIC;6;0;2;0;0;0;0;0;0;0;0;0;0
261;D;RANOCCHIA;6;0;0;0;0;0;0;0;0;0;0;0;0
798;D;SKRINIAR;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2310;D;CANCELO;5;0;0;0;0;0;0;0;0;0;0;0;0
253;D;D'AMBROSIO;5;0;0;0;0;0;0;0;0;0;0;0;0
2655;C;RAFINHA;7;1;0;0;0;0;0;0;0;0;0;0;0
172;C;BORJA VALERO;6;0;0;0;0;0;0;0;0;0;0;0;0
265;C;BROZOVIC;5.5;0;0;0;0;0;0;1;0;0;0;0;0
181;C;VECINO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
332;C;CANDREVA;5;0;0;0;0;0;0;0;0;0;0;0;0
704;C;PERISIC;6;0;0;0;0;0;0;0;0;1;0;0;0
2325;A;KARAMOH;5;0;0;0;0;0;0;0;0;0;0;0;0
506;A;EDER;5.5;0;0;0;0;0;0;0;0;0;0;0;0
277;A;ICARDI;4;0;0;0;0;0;0;0;0;0;0;0;0
782;ALL;SPALLETTI;4.5;0;0;0;0;0;0;0;0;0;0;0;0
JUVENTUS;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
453;P;SZCZESNY;6;0;0;0;0;0;0;0;0;0;0;0;0
662;D;ALEX SANDRO;6.5;0;0;0;0;0;0;1;0;0;0;0;0
285;D;BARZAGLI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
358;D;DE SCIGLIO;6;0;0;0;0;0;0;0;0;0;0;0;0
294;D;RUGANI;6;0;0;0;0;0;0;0;0;0;0;0;0
2200;C;DOUGLAS COSTA;6;0;0;0;0;0;0;0;0;0;0;0;0
469;C;PJANIC;5.5;0;0;0;0;0;0;1;0;0;0;0;0
2306;C;MATUIDI;6;0;0;0;0;0;0;0;0;0;0;0;0
2166;C;BENTANCUR;6*;0;0;0;0;0;0;0;0;0;0;0;0
184;C;BERNARDESCHI;6;0;0;0;0;0;0;0;0;0;0;0;0
309;A;DYBALA;6;0;0;0;0;0;0;0;0;0;0;0;0
408;A;HIGUAIN;5;0;0;0;0;0;0;0;0;0;0;0;0
312;A;MANDZUKIC;5.5;0;0;0;0;0;0;0;0;0;0;0;0
686;ALL;ALLEGRI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
LAZIO;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
1934;P;STRAKOSHA;5.5;0;2;0;0;0;0;0;0;0;0;0;0
287;D;CACERES;6;0;0;0;0;0;0;0;0;0;0;0;0
319;D;BASTA;6;0;0;0;0;0;0;0;0;0;0;0;0
322;D;DE VRIJ;6.5;0;0;0;0;0;0;0;0;1;0;0;0
327;D;PATRIC;6;0;0;0;0;0;0;0;0;0;0;0;0
329;D;RADU;5;0;0;0;0;0;0;1;0;0;0;0;0
2007;D;WALLACE;5.5;0;0;0;0;0;0;0;0;0;0;0;0
338;C;LULIC;7;0;0;0;0;1;0;0;0;0;0;0;0
645;C;MILINKOVIC-SAVIC;6.5;1;0;0;0;0;0;0;0;0;0;0;1
2003;C;MURGIA;5.5;0;0;0;0;0;0;1;0;0;0;0;0
335;C;FELIPE ANDERSON;6;0;0;0;0;0;0;0;0;0;0;0;0
2209;C;LUCAS LEIVA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2323;A;NANI;5.5;0;0;0;0;0;0;1;0;0;0;0;0
2284;A;CAICEDO;5;0;0;0;0;0;0;0;0;0;0;0;0
826;ALL;INZAGHI S;6.5;0;0;0;0;0;0;0;0;0;0;0;0
MILAN;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
350;P;DONNARUMMA G;5.5;0;1;0;0;0;0;1;0;0;0;0;0
460;D;ROMAGNOLI A;6.5;0;0;0;0;0;0;1;0;0;0;0;0
353;D;ABATE;4.5;0;0;0;0;0;0;1;0;0;0;0;0
286;D;BONUCCI;6;0;0;0;0;0;0;0;0;0;0;0;0
