ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
316;P;BERISHA E;6;0;1;0;0;0;0;0;0;0;0;0;0
1847;D;CALDARA;5.5;0;0;0;0;0;0;1;0;0;0;0;0
11;D;CONTI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
695;D;TOLOI;6;0;0;0;0;0;0;0;0;0;0;0;0
493;D;ZUKANOVIC;6;0;0;0;0;0;0;0;0;0;0;0;0
26;C;GOMEZ A;6;0;0;0;0;0;0;0;0;0;0;0;0
1850;C;KESSIE';6.5;0;0;0;0;0;0;0;0;0;0;0;0
27;C;GRASSI;5;0;0;0;0;0;0;0;0;0;0;0;0
28;C;KURTIC;6;0;0;0;0;0;0;0;0;0;0;0;0
1852;C;SPINAZZOLA;6;0;0;0;0;0;0;0;0;0;0;0;0
21;C;D'ALESSANDRO;6*;0;0;0;0;0;0;0;0;0;0;0;0
788;C;FREULER;5.5;0;0;0;0;0;0;1;0;0;0;0;0
2089;A;PESIC;6*;0;0;0;0;0;0;0;0;0;0;0;0
383;A;PETAGNA;6.5;1;0;0;0;0;0;0;0;0;0;0;1
742;ALL;GRITTI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
41;P;MIRANTE;6;0;1;0;0;0;0;0;0;0;0;0;0
663;D;KRAFTH;5;0;0;0;0;0;0;0;1;0;0;0;0
48;D;MAIETTA;6;0;0;0;0;0;0;1;0;0;0;0;0
49;D;MASINA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
52;D;OIKONOMOU;6;0;0;0;0;0;0;0;0;0;0;0;0
461;D;TOROSIDIS;6*;0;0;0;0;0;0;0;0;0;0;0;0
669;C;DONSAH;6;0;0;0;0;0;0;1;0;0;0;0;0
1858;C;KREJCI;6.5;0;0;0;0;0;0;0;0;1;0;0;0
1859;C;NAGY;5;0;0;0;0;0;0;0;0;0;0;0;0
644;C;PULGAR;6.5;0;0;0;0;0;0;0;0;0;0;0;0
376;C;VERDI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
631;C;VIVIANI;5;0;0;0;0;0;0;0;1;0;0;0;0
1857;C;DI FRANCESCO F;6;0;0;0;0;0;0;0;0;0;0;0;0
472;A;DESTRO;7;1;0;0;0;0;0;0;0;0;0;0;0
760;ALL;DONADONI;6;0;0;0;0;0;0;0;0;0;0;0;0
CAGLIARI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
611;P;RAFAEL;6;0;1;0;0;0;0;0;0;0;0;0;0
1864;D;BRUNO ALVES;5;0;0;0;0;0;0;0;0;0;0;0;0
1865;D;CAPUANO;6;0;0;0;0;0;0;0;0;0;0;0;0
