ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
316;P;BERISHA E;6;0;0;0;0;0;0;0;0;0;0;0;0
1847;D;CALDARA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
11;D;CONTI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2120;D;BASTONI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
15;D;MASIELLO A;7;0;0;0;0;0;0;0;0;0;0;0;0
493;D;ZUKANOVIC;6;0;0;0;0;0;0;0;0;0;0;0;0
695;D;TOLOI;6*;0;0;0;0;0;0;0;0;0;0;0;0
26;C;GOMEZ A;7.5;0;0;0;0;1;0;0;0;0;0;1;0
28;C;KURTIC;6;0;0;0;0;0;0;1;0;0;0;0;0
27;C;GRASSI;6;0;0;0;0;0;0;0;0;0;0;0;0
1852;C;SPINAZZOLA;7;0;0;0;0;0;0;0;0;0;0;0;0
2121;C;MELEGONI;6;0;0;0;0;0;0;0;0;0;0;0;0
788;C;FREULER;5.5;0;0;0;0;0;0;0;0;0;0;0;0
383;A;PETAGNA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
742;ALL;GRITTI;7;0;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
41;P;MIRANTE;6;0;0;0;0;0;0;0;0;0;0;0;0
48;D;MAIETTA;6;0;0;0;0;0;0;0;0;0;0;0;0
49;D;MASINA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
52;D;OIKONOMOU;6.5;0;0;0;0;0;0;0;0;0;0;0;0
663;D;KRAFTH;7;0;0;0;0;0;0;0;0;0;0;0;0
1858;C;KREJCI;6.5;0;0;0;0;0;0;0;0;1;0;0;0
1859;C;NAGY;6.5;0;0;0;0;0;0;0;0;0;0;0;0
644;C;PULGAR;6;0;0;0;0;0;0;0;0;0;0;0;0
713;C;DZEMAILI;7.5;2;0;0;0;0;0;1;0;0;0;1;0
60;C;RIZZO;6*;0;0;0;0;0;0;0;0;0;0;0;0
376;C;VERDI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
1857;C;DI FRANCESCO F;6.5;0;0;0;0;0;0;0;0;0;0;0;0
669;C;DONSAH;6.5;0;0;0;0;0;0;0;0;1;0;0;0
472;A;DESTRO;5.5;0;0;0;0;0;0;1;0;0;0;0;0
760;ALL;DONADONI;7;0;0;0;0;0;0;0;0;0;0;0;0
CAGLIARI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
611;P;RAFAEL;6;0;1;0;0;0;0;0;0;0;0;0;0
1864;D;BRUNO ALVES;6;0;0;0;0;0;0;0;0;0;0;0;0
1866;D;CEPPITELLI;5;0;0;0;0;0;0;1;0;0;0;0;0
1868;D;MURRU;5;0;0;0;0;0;0;0;0;0;0;0;0
1869;D;PISACANE;5.5;0;0;0;0;0;0;1;0;0;0;0;0
291;D;ISLA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2116;C;FARAGO';6*;0;0;0;0;0;0;0;0;0;0;0;0
1870;C;BARELLA;6.5;0;0;0;0;0;0;1;0;0;0;0;0
241;C;TACHTSIDIS;5;0;0;0;0;0;0;0;0;0;0;0;0
1872;C;DESSENA;6;0;0;0;0;0;0;0;0;0;0;0;0
1874;C;JOAO PEDRO;5;0;0;0;0;0;0;0;1;0;0;0;0
1882;A;SAU;6;0;0;0;0;0;0;0;0;0;0;0;0
722;A;BORRIELLO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
1879;A;FARIAS;5.5;0;0;0;0;0;0;0;0;0;0;0;0
1883;ALL;RASTELLI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
CHIEVO;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
413;P;SORRENTINO;6.5;0;3;0;0;0;0;0;0;0;0;0;0
99;D;CACCIATORE;5.5;0;0;0;0;0;0;0;0;0;0;0;0
100;D;CESAR;5;0;0;0;0;0;0;1;0;0;0;0;0
101;D;DAINELLI;4.5;0;0;0;0;0;0;0;0;0;0;0;0
105;D;GOBBI;6;0;0;0;0;0;0;0;0;0;0;0;0
112;C;CASTRO;6;0;0;0;0;0;0;0;0;0;0;0;0
2072;C;BASTIEN;5.5;0;0;0;0;0;0;0;0;0;0;0;0
399;C;DE GUZMAN;5;0;0;0;0;0;0;0;0;0;0;0;0
115;C;HETEMAJ;6;0;0;0;0;0;0;0;0;0;0;0;0
116;C;IZCO;6*;0;0;0;0;0;0;0;0;0;0;0;0
111;C;BIRSA;5.5;0;0;0;0;0;0;1;0;0;0;0;0
123;A;INGLESE;5;0;0;0;0;0;0;0;0;0;0;0;0
124;A;MEGGIORINI;5.5;0;0;0;0;0;0;1;0;0;0;0;0
127;A;PELLISSIER;5.5;0;0;0;0;0;0;0;0;0;0;0;0
680;ALL;MARAN;5.5;0;0;0;0;0;0;0;0;0;0;0;0
CROTONE;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
1889;P;CORDAZ;6;0;2;0;0;0;0;0;0;0;0;0;0
1891;D;CECCHERINI;6.5;1;0;0;0;0;0;0;0;0;0;0;0
1895;D;FERRARI G;6;1;0;0;0;0;0;0;0;0;0;0;1
1896;D;MARTELLA;6;0;0;0;0;0;0;0;0;0;0;0;0
1898;D;SAMPIRISI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
198;D;ROSI;5.5;0;0;0;0;0;0;1;0;0;0;0;0
2014;C;ROHDEN;6.5;0;0;0;0;0;0;0;0;0;0;0;0
57;C;CRISETIG;5.5;0;0;0;0;0;0;1;0;0;0;0;0
1901;C;BARBERIS;7;0;0;0;0;0;0;0;0;0;1;0;0
121;C;STOIAN;6;0;0;0;0;0;0;0;0;0;0;0;0
789;A;TROTTA;6;0;0;0;0;0;0;0;0;0;0;0;0
532;A;FALCINELLI;6;0;0;0;0;0;0;0;0;0;0;0;0
1911;ALL;NICOLA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
EMPOLI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
133;P;SKORUPSKI;7;0;0;0;0;0;0;0;0;0;0;0;0
1912;D;BELLUSCI;6;0;0;0;0;0;0;1;0;0;0;0;0
138;D;COSTA;6;0;0;0;0;0;0;1;0;0;0;0;0
141;D;LAURINI;5;0;0;0;0;0;0;0;0;0;0;0;0
