ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
4;P;SPORTIELLO;5.5;0;3;0;0;0;0;0;0;0;0;0;0
1847;D;CALDARA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
11;D;CONTI;5;0;0;0;0;0;0;0;0;0;0;0;0
15;D;MASIELLO A;6;0;0;0;0;0;0;0;0;0;0;0;0
695;D;TOLOI;5;0;0;0;0;0;0;0;0;0;0;0;0
26;C;GOMEZ A;5.5;0;0;0;0;0;0;0;0;0;0;0;0
1850;C;KESSIE';6;0;0;0;0;0;0;1;0;0;0;0;0
28;C;KURTIC;5;0;0;0;0;0;0;0;0;0;0;0;0
1852;C;SPINAZZOLA;6;0;0;0;0;0;0;0;0;0;0;0;0
27;C;GRASSI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
21;C;D'ALESSANDRO;6;0;0;0;0;0;0;0;0;1;0;0;0
788;C;FREULER;6;1;0;0;0;0;0;1;0;0;0;0;0
383;A;PETAGNA;5;0;0;0;0;0;0;0;0;0;0;0;0
2089;A;PESIC;5.5;0;0;0;0;0;0;0;0;0;0;0;0
684;ALL;GASPERINI;6;0;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
41;P;MIRANTE;6.5;0;1;0;0;0;0;0;0;0;0;0;0
461;D;TOROSIDIS;5;0;0;0;0;0;0;0;0;0;0;0;0
49;D;MASINA;6;0;0;0;0;0;0;0;0;0;0;0;0
50;D;MBAYE;6*;0;0;0;0;0;0;0;0;0;0;0;0
52;D;OIKONOMOU;6;0;0;0;0;0;0;0;0;0;0;0;0
48;D;MAIETTA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
703;C;MOUNIER;5.5;0;0;0;0;0;0;0;0;0;0;0;0
713;C;DZEMAILI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
644;C;PULGAR;4.5;0;0;0;0;0;0;0;1;0;0;0;0
275;C;TAIDER;5.5;0;0;0;0;0;0;0;0;0;0;0;0
1857;C;DI FRANCESCO F;6;0;0;0;0;0;0;0;0;0;0;0;0
1858;C;KREJCI;6;0;0;0;0;0;0;0;0;0;0;0;0
472;A;DESTRO;5;0;0;0;0;0;0;0;0;0;0;0;0
