ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
316;P;BERISHA E;6;0;0;0;0;0;0;0;0;0;0;0;0
1847;D;CALDARA;7;0;0;0;0;0;0;0;0;0;0;0;0
11;D;CONTI;6.5;0;0;0;0;0;0;1;0;1;0;0;0
15;D;MASIELLO A;6;0;0;0;0;0;0;1;0;0;0;0;0
695;D;TOLOI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
493;D;ZUKANOVIC;6;0;0;0;0;0;0;0;0;0;0;0;0
26;C;GOMEZ A;7.5;2;0;0;0;0;0;0;0;0;0;1;0
1850;C;KESSIE';6;0;0;0;0;0;0;0;0;0;0;0;0
28;C;KURTIC;6.5;0;0;0;0;0;0;1;0;0;0;0;0
1852;C;SPINAZZOLA;6.5;0;0;0;0;0;0;1;0;0;0;0;0
779;C;CRISTANTE;5.5;0;0;0;0;0;0;0;0;0;0;0;0
788;C;FREULER;6.5;0;0;0;0;0;0;0;0;0;0;0;0
703;C;MOUNIER;6*;0;0;0;0;0;0;0;0;0;0;0;0
383;A;PETAGNA;7;0;0;0;0;0;0;0;0;1;0;0;0
684;ALL;GASPERINI;7;0;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
41;P;MIRANTE;5;0;6;0;0;0;0;0;0;0;0;0;0
40;P;DA COSTA;6*;0;1;0;0;0;0;0;0;0;0;0;0
48;D;MAIETTA;3;0;0;0;0;0;0;1;0;0;0;0;0
49;D;MASINA;4.5;0;0;0;0;0;0;0;1;0;0;0;0
52;D;OIKONOMOU;3;0;0;0;0;0;0;0;0;0;0;0;0
461;D;TOROSIDIS;4.5;1;0;0;0;0;0;0;0;0;0;0;0
1859;C;NAGY;4;0;0;0;0;0;0;0;0;0;0;0;0
644;C;PULGAR;3.5;0;0;0;0;0;0;1;0;0;0;0;0
60;C;RIZZO;5;0;0;0;0;0;0;0;0;0;0;0;0
376;C;VERDI;5;0;0;0;0;0;0;0;0;0;0;0;0
713;C;DZEMAILI;4;0;0;0;0;0;0;0;0;0;0;0;0
1858;C;KREJCI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2114;A;PETKOVIC;5.5;0;0;0;0;0;0;0;0;0;0;0;0
472;A;DESTRO;4;0;0;0;1;0;0;0;0;0;0;0;0
760;ALL;DONADONI;3;0;0;0;0;0;0;0;0;0;0;0;0
CAGLIARI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
611;P;RAFAEL;6.5;0;2;0;0;0;0;0;0;0;0;0;0
1865;D;CAPUANO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
1866;D;CEPPITELLI;5;0;0;0;0;0;0;1;0;0;0;0;0
1869;D;PISACANE;5;0;0;0;0;0;0;0;0;0;0;0;0
2037;D;MIANGUE;6;0;0;0;0;0;0;0;0;0;0;0;0
291;D;ISLA;5;0;0;0;0;0;0;0;0;0;0;0;0
1864;D;BRUNO ALVES;6;0;0;0;0;0;0;0;0;0;0;0;0
241;C;TACHTSIDIS;6;0;0;0;0;0;0;0;0;0;0;0;0
1870;C;BARELLA;5.5;0;0;0;0;0;0;1;0;0;0;0;0
1872;C;DESSENA;5;0;0;0;0;0;0;0;0;0;0;0;0
1873;C;DI GENNARO D;6;0;0;0;0;0;0;0;0;0;0;0;0
627;C;IONITA;6*;0;0;0;0;0;0;0;0;0;0;0;0
722;A;BORRIELLO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2135;A;SERRA;6;0;0;0;0;0;0;0;0;0;0;0;0
