ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
4;P;SPORTIELLO;6;0;0;0;0;0;0;0;0;0;0;0;0
1847;D;CALDARA;7;0;0;0;0;0;0;0;0;0;0;0;0
11;D;CONTI;7;0;0;0;0;0;0;0;0;0;0;0;0
15;D;MASIELLO A;7;1;0;0;0;0;0;0;0;0;0;1;0
493;D;ZUKANOVIC;6;0;0;0;0;0;0;0;0;0;0;0;0
26;C;GOMEZ A;7;0;0;0;0;0;0;0;0;1;1;0;0
1850;C;KESSIE';6;0;0;0;0;0;0;1;0;0;0;0;0
28;C;KURTIC;7;1;0;0;0;0;0;0;0;0;0;0;0
1852;C;SPINAZZOLA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
21;C;D'ALESSANDRO;6*;0;0;0;0;0;0;0;0;0;0;0;0
788;C;FREULER;6*;0;0;0;0;0;0;0;0;0;0;0;0
801;C;GAGLIARDINI;6;0;0;0;0;0;0;1;0;0;0;0;0
383;A;PETAGNA;6;0;0;0;0;0;0;0;0;0;0;0;0
2089;A;PESIC;6*;0;0;0;0;0;0;0;0;0;0;0;0
684;ALL;GASPERINI;7;0;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
41;P;MIRANTE;6;0;2;0;0;0;0;0;0;0;0;0;0
48;D;MAIETTA;5.5;0;0;0;0;0;0;1;0;0;0;0;0
49;D;MASINA;5;0;0;0;0;0;0;1;0;0;0;0;0
461;D;TOROSIDIS;6;0;0;0;0;0;0;1;0;0;0;0;0
47;D;GASTALDELLO;5.5;0;0;0;0;0;0;1;0;0;0;0;0
275;C;TAIDER;5;0;0;0;0;0;0;0;0;0;0;0;0
2100;C;OKWONKWO;6;0;0;0;0;0;0;0;0;0;0;0;0
713;C;DZEMAILI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
1858;C;KREJCI;5;0;0;0;0;0;0;0;0;0;0;0;0
703;C;MOUNIER;6*;0;0;0;0;0;0;0;0;0;0;0;0
60;C;RIZZO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
631;C;VIVIANI;5.5;0;0;0;0;0;0;1;0;0;0;0;0
472;A;DESTRO;5;0;0;0;0;0;0;0;0;0;0;0;0
533;A;FLOCCARI;5;0;0;0;0;0;0;0;0;0;0;0;0
760;ALL;DONADONI;5;0;0;0;0;0;0;0;0;0;0;0;0
CAGLIARI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
1863;P;STORARI;6.5;0;1;0;0;0;0;0;0;0;0;0;0
