ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
4;P;SPORTIELLO;6;0;0;0;0;0;0;0;0;0;0;0;0
13;D;DRAME';6;0;0;0;0;0;0;0;0;0;0;0;0
15;D;MASIELLO A;6.5;0;0;0;0;0;0;0;0;0;0;0;0
17;D;STENDARDO;6;0;0;0;0;0;0;0;0;0;0;0;0
695;D;TOLOI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
22;C;DE ROON;6.5;0;0;0;0;0;0;0;0;0;0;0;0
26;C;GOMEZ A;7;1;0;0;0;0;0;0;0;0;0;0;0
27;C;GRASSI;6.5;0;0;0;0;0;0;1;0;0;0;0;0
28;C;KURTIC;6;0;0;0;0;0;0;0;0;0;0;0;0
31;C;MORALEZ;7;0;0;0;0;0;0;0;0;1;0;0;0
19;C;CARMONA;6*;0;0;0;0;0;0;0;0;0;0;0;0
20;C;CIGARINI;7;0;0;0;0;1;0;0;0;0;0;0;0
21;C;D'ALESSANDRO;6;0;0;0;0;0;0;0;0;0;0;0;0
39;A;PINILLA;7.5;1;0;0;0;0;0;0;0;0;0;1;0
678;ALL;REJA;7;0;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
41;P;MIRANTE;6;0;1;0;0;0;0;0;0;0;0;0;0
47;D;GASTALDELLO;6.5;0;0;0;0;0;0;0;0;0;0;0;0
49;D;MASINA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
54;D;ROSSETTINI;5;0;0;0;0;0;0;0;0;0;0;0;0
45;D;FERRARI A;6;0;0;0;0;0;0;0;0;0;0;0;0
275;C;TAIDER;5;0;0;0;0;0;0;0;0;0;0;0;0
658;C;FALCO;6*;0;0;0;0;0;0;0;0;0;0;0;0
703;C;MOUNIER;6;0;0;0;0;0;0;0;0;0;0;0;0
55;C;BRIENZA;6;0;0;0;0;0;0;0;0;0;0;0;0
669;C;DONSAH;6;0;0;0;0;0;0;0;0;0;0;0;0
58;C;DIAWARA;6;0;0;0;0;0;0;0;0;0;0;0;0
60;C;RIZZO;5.5;0;0;0;0;0;0;1;0;0;0;0;0
472;A;DESTRO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
65;A;MANCOSU;5.5;0;0;0;0;0;0;0;0;0;0;0;0
677;ALL;ROSSI D;5;0;0;0;0;0;0;0;0;0;0;0;0
CARPI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
720;P;BELEC;4;0;3;0;0;0;0;0;0;0;0;0;0
73;D;GAGLIOLO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
364;D;ZACCARDO;6;0;0;0;0;0;0;0;0;0;0;0;0
74;D;LETIZIA;6;0;0;0;0;0;0;0;0;0;0;0;0
79;D;WALLACE O;6;0;0;0;0;0;0;0;0;0;0;0;0
582;D;GABRIEL SILVA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
71;D;BUBNJIC;4;0;0;0;0;0;0;1;0;0;0;0;0
82;C;LAZZARI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
639;C;FEDELE;5.5;0;0;0;0;0;0;1;0;0;0;0;0
232;C;COFIE;5;0;0;0;0;0;0;1;0;0;0;0;0
90;A;LASAGNA;6;0;0;0;0;0;0;0;0;0;0;0;0
722;A;BORRIELLO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
92;A;MATOS;5.5;0;0;0;0;0;0;0;0;0;0;0;0
757;ALL;SANNINO;5;0;0;0;0;0;0;0;0;0;0;0;0
CHIEVO;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
95;P;BIZZARRI;5.5;0;3;0;0;0;0;0;0;0;0;0;0
104;D;GAMBERINI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
105;D;GOBBI;6;0;0;0;0;0;0;0;0;0;0;0;0
106;D;MATTIELLO;5.5;0;0;0;0;0;0;0;0;1;0;0;0
100;D;CESAR;5.5;0;0;0;0;0;0;0;0;0;0;0;0
111;C;BIRSA;6;0;0;0;0;0;0;0;0;0;0;0;0
112;C;CASTRO;6.5;0;0;0;0;0;0;1;0;0;0;0;0
115;C;HETEMAJ;5.5;0;0;0;0;0;0;0;0;0;0;0;0
650;C;PEPE;5;0;0;0;0;0;0;1;0;0;0;0;0
119;C;RIGONI N;5.5;0;0;0;0;0;0;0;0;0;0;0;0
