ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
610;P;GOLLINI;6.5;0;1;0;0;0;0;0;0;0;0;0;0
2739;D;RECA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2197;D;CASTAGNE;6;0;0;0;0;0;0;1;0;1;0;0;0
787;D;DJIMSITI;6*;0;0;0;0;0;0;0;0;0;0;0;0
2130;D;HATEBOER;6;0;0;0;0;0;0;0;0;0;0;0;0
2296;D;MANCINI G;6.5;0;0;0;0;0;0;0;0;0;0;0;0
15;D;MASIELLO A;6;0;0;0;0;0;0;0;0;0;0;0;0
2181;D;PALOMINO;6;0;0;0;0;0;0;0;0;0;0;0;0
22;C;DE ROON;6;0;0;0;0;0;0;0;0;0;0;0;0
788;C;FREULER;6.5;0;0;0;0;0;0;0;0;0;0;0;0
177;C;ILICIC;6;0;0;0;0;0;0;0;0;0;0;0;0
2077;C;PASALIC;6;1;0;0;0;0;0;0;0;0;0;0;0
26;A;GOMEZ A;7;0;0;0;0;0;0;0;0;1;0;0;0
608;A;ZAPATA D;7.5;2;0;0;0;0;0;0;0;0;0;1;0
684;ALL;GASPERINI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
133;P;SKORUPSKI;6;0;1;0;0;0;0;0;0;0;0;0;0
578;D;DANILO LAR;6;0;0;0;0;0;0;0;0;0;0;0;0
2746;D;DIJKS;6.5;0;0;0;0;0;0;0;0;0;0;0;0
615;D;HELANDER;6;0;0;0;0;0;0;1;0;0;0;0;0
50;D;MBAYE;6;0;0;0;0;0;0;0;0;0;0;0;0
374;C;POLI;6;0;0;0;0;0;0;0;0;0;0;0;0
644;C;PULGAR;7;0;0;0;0;1;0;0;0;0;0;0;0
669;C;DONSAH;6*;0;0;0;0;0;0;0;0;0;0;0;0
2625;C;SORIANO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
713;C;DZEMAILI;6;0;0;0;0;0;0;0;0;0;0;0;0
537;A;SANSONE N;5.5;0;0;0;0;0;0;0;0;0;0;0;0
472;A;DESTRO;7.5;1;0;0;0;0;0;1;0;0;0;1;0
2167;A;ORSOLINI;6.5;0;0;0;0;0;0;0;0;0;1;0;0
280;A;PALACIO;6.5;0;0;0;0;0;0;0;0;0;0;0;0
687;ALL;MIHAJLOVIC;6.5;0;0;0;0;0;0;0;0;0;0;0;0
CAGLIARI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
2178;P;CRAGNO;7;0;0;0;0;0;0;0;0;0;0;0;0
2116;D;FARAGO';6.5;0;0;0;0;0;0;1;0;0;0;0;0
1869;D;PISACANE;7;1;0;0;0;0;0;0;0;0;0;1;0
99;D;CACCIATORE;6.5;0;0;0;0;0;0;0;0;1;0;0;0
1866;D;CEPPITELLI;6;0;0;0;0;0;0;0;0;0;0;0;0
2728;D;PELLEGRINI LU;7;0;0;0;0;0;0;0;0;1;0;0;0
1870;C;BARELLA;7;0;0;0;0;0;0;0;0;1;0;0;0
20;C;CIGARINI;6;0;0;0;0;0;0;1;0;0;0;0;0
1871;C;DEIOLA;6*;0;0;0;0;0;0;0;0;0;0;0;0
627;C;IONITA;7;1;0;0;0;0;0;0;0;0;0;0;0
1874;C;JOAO PEDRO;7;1;0;0;0;0;0;0;0;0;0;0;0
111;C;BIRSA;6*;0;0;0;0;0;0;0;0;0;0;0;0
306;A;CERRI;6;0;0;0;0;0;0;1;0;0;0;0;0
