ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
316;P;BERISHA E;6;0;3;0;0;0;0;0;0;0;0;0;0
2197;D;CASTAGNE;6;1;0;0;0;0;0;0;0;0;0;0;0
787;D;DJIMSITI;5;0;0;0;0;0;0;0;0;0;0;0;0
2130;D;HATEBOER;6;0;0;0;0;0;0;0;0;0;0;0;0
2296;D;MANCINI G;5;0;0;0;0;0;0;0;0;0;0;0;0
2181;D;PALOMINO;6;0;0;0;0;0;0;0;0;0;0;0;0
695;D;TOLOI;6;1;0;0;0;0;0;0;0;0;0;0;0
22;C;DE ROON;6;0;0;0;0;0;0;0;0;0;0;0;0
177;C;ILICIC;6.5;0;0;0;0;0;0;0;0;1;0;0;0
2077;C;PASALIC;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2741;C;PESSINA;6*;0;0;0;0;0;0;0;0;0;0;0;0
2719;A;BARROW;6*;0;0;0;0;0;0;0;0;0;0;0;0
26;A;GOMEZ A;7;0;0;0;0;0;0;0;0;2;0;0;0
608;A;ZAPATA D;6;1;0;0;1;0;0;0;0;0;0;0;1
684;ALL;GASPERINI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
133;P;SKORUPSKI;5;0;4;0;0;0;0;0;0;0;0;0;0
578;D;DANILO LAR;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2745;D;CALABRESI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2746;D;DIJKS;6;0;0;0;0;0;0;0;0;0;0;0;0
615;D;HELANDER;5;0;0;0;0;0;0;1;0;0;0;0;0
106;D;MATTIELLO;4.5;0;0;0;0;0;0;0;1;0;0;0;0
2744;C;SVANBERG;5;0;0;0;0;0;0;0;0;0;0;0;0
2625;C;SORIANO;5;0;0;0;0;0;0;0;0;0;0;0;0
374;C;POLI;4.5;0;0;0;0;0;0;1;0;0;0;0;0
644;C;PULGAR;5.5;0;0;0;0;0;0;0;0;0;0;0;0
472;A;DESTRO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2167;A;ORSOLINI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
280;A;PALACIO;6;0;0;0;0;0;0;0;0;0;0;0;0
537;A;SANSONE N;5;0;0;0;0;0;0;1;0;0;0;0;0
2748;ALL;INZAGHI F;4;0;0;0;0;0;0;0;0;0;0;0;0
CAGLIARI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
2178;P;CRAGNO;6;0;3;0;0;0;0;0;0;0;0;0;0
2116;D;FARAGO';5.5;0;0;0;0;0;0;0;0;0;0;0;0
2653;D;LYKOGIANNIS;5;0;0;0;0;0;0;0;0;0;0;0;0
1869;D;PISACANE;5;0;0;0;0;0;0;0;0;0;0;0;0
2749;D;SRNA;5;0;0;0;0;0;0;0;0;0;0;0;0
1866;D;CEPPITELLI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
301;C;PADOIN;5.5;0;0;0;0;0;0;0;0;0;0;0;0
1870;C;BARELLA;5;0;0;0;0;0;0;1;0;0;0;0;0
20;C;CIGARINI;6;0;0;0;0;0;0;0;0;0;0;0;0
627;C;IONITA;5;0;0;0;0;0;0;0;0;0;0;0;0
1874;C;JOAO PEDRO;5;0;0;0;0;0;0;0;0;0;0;0;0
111;C;BIRSA;6;0;0;0;0;0;0;0;0;0;0;0;0
1879;A;FARIAS;6;0;0;0;0;0;0;0;0;0;0;0;0
247;A;PAVOLETTI;4.5;0;0;0;0;0;0;0;0;0;0;0;0
680;ALL;MARAN;5;0;0;0;0;0;0;0;0;0;0;0;0
CHIEVO;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
413;P;SORRENTINO;5.5;0;4;0;0;0;0;1;0;0;0;0;0
54;D;ROSSETTINI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
134;D;BARBA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
100;D;CESAR;4.5;0;0;0;0;0;0;0;0;0;0;0;0
2208;D;JAROSZYNSKI;5;0;0;0;0;0;0;0;0;0;0;0;0
169;D;TOMOVIC;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2141;C;DEPAOLI;6.5;0;0;0;0;0;0;0;0;2;0;0;0
702;C;GIACCHERINI;6.5;0;0;0;0;0;0;1;0;0;0;0;0
115;C;HETEMAJ;6;0;0;0;0;0;0;0;0;0;0;0;0
119;C;RIGONI N;6;0;0;0;0;0;0;1;0;0;0;0;0
344;A;DJORDJEVIC;7;1;0;0;0;0;0;0;0;0;0;0;0
2334;A;LERIS;6;0;0;0;0;0;0;0;0;0;0;0;0
127;A;PELLISSIER;5.5;0;0;0;1;1;0;0;0;0;0;0;0
2327;A;STEPINSKI;7;1;0;0;0;0;0;0;0;0;0;0;0
4309;ALL;DI CARLO;6;0;0;0;0;0;0;0;0;0;0;0;0
EMPOLI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
2814;P;PROVEDEL;5.5;0;3;0;0;0;0;0;0;0;0;0;0
2816;D;DI LORENZO;6.5;1;0;0;0;0;0;0;0;0;0;0;0
166;D;PASQUAL;5.5;0;0;0;0;0;0;0;0;0;0;0;0
492;D;SILVESTRE;6;0;0;0;0;0;0;0;0;0;0;0;0
2752;D;RASMUSSEN;5;0;0;0;0;0;0;1;0;0;0;0;0
2064;D;VESELI;5;0;0;0;0;0;0;0;0;0;0;0;0
471;C;UCAN;6;0;0;0;0;0;0;0;0;0;0;0;0
2818;C;BENNACER;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2857;C;TRAORE' HJ;5.5;0;0;0;0;0;0;0;0;0;0;0;0
148;C;KRUNIC;5.5;0;0;0;0;0;0;0;0;0;0;0;0
555;C;ACQUAH;6*;0;0;0;0;0;0;0;0;0;0;0;0
2124;C;ZAJC;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2819;A;CAPUTO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
154;A;MCHEDLIDZE;5.5;0;0;0;0;0;0;0;0;0;0;0;0
689;ALL;IACHINI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
FIORENTINA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
2387;P;LAFONT;6;0;3;1;0;0;0;0;0;0;0;0;0
1891;D;CECCHERINI;6*;0;0;0;0;0;0;0;0;0;0;0;0
2754;D;HANCKO;6.5;0;0;0;0;0;0;0;0;1;0;0;0
141;D;LAURINI;6;0;0;0;0;0;0;0;0;0;0;0;0
2309;D;PEZZELLA GER;4.5;0;0;0;0;0;0;0;0;0;0;0;0
2165;D;VITOR HUGO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
557;C;BENASSI;6.5;1;0;0;0;0;0;0;1;0;0;0;0
2215;C;VERETOUT;6;0;0;0;0;0;0;0;0;0;0;0;0
2002;C;CHIESA;8;2;0;0;0;0;0;0;0;0;0;1;0
2659;C;DABO;6.5;0;0;0;0;0;0;0;0;1;0;0;0
1967;C;GERSON;6.5;0;0;0;0;0;0;0;0;1;0;0;0
2830;C;NORGAARD;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2061;A;SIMEONE;6;0;0;0;0;0;0;0;0;1;0;0;0
507;A;MURIEL;7;1;0;0;0;0;0;0;0;0;0;0;0
676;ALL;PIOLI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
FROSINONE;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
4;P;SPORTIELLO;6;0;0;0;0;0;0;0;0;0;0;0;0
491;D;SALAMON;6;0;0;0;0;0;0;1;0;0;0;0;0
244;D;GHIGLIONE;7;1;0;0;0;0;0;0;0;0;0;1;0
1867;D;KRAJNC;6.5;0;0;0;0;0;0;0;0;0;0;0;0
1865;D;CAPUANO;5.5;0;0;0;0;0;0;1;0;0;0;0;0
202;C;CHIBSAH;6;0;0;0;0;0;0;0;0;0;0;0;0
2213;C;CASSATA;6.5;0;0;0;0;0;0;1;0;1;0;0;0
205;C;GORI;6;0;0;0;0;0;0;1;0;0;0;0;0
651;C;MAIELLO;6;0;0;0;0;0;0;0;0;0;0;0;0
2105;C;BEGHETTO;7;0;0;0;0;0;0;0;0;2;0;0;0
789;A;TROTTA;6*;0;0;0;0;0;0;0;0;0;0;0;0
2812;A;CIANO;7.5;2;0;0;0;0;0;0;0;0;0;0;0
212;A;CIOFANI D;6*;0;0;0;0;0;0;0;0;0;0;0;0
2038;A;PINAMONTI;6.5;1;0;0;0;0;0;0;0;0;0;0;0
2248;ALL;BARONI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
GENOA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
1843;P;RADU I;6.5;0;1;0;0;0;0;0;0;0;0;0;0
729;D;PEREIRA P;6*;0;0;0;0;0;0;0;0;0;0;0;0
493;D;ZUKANOVIC;6;0;0;0;0;0;0;0;0;0;0;0;0
770;D;PEZZELLA GIU;6*;0;0;0;0;0;0;0;0;0;0;0;0
4307;D;ROMERO C;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2083;D;BIRASCHI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2759;D;CRISCITO;6.5;0;0;0;0;0;0;0;0;1;0;0;0
264;C;BESSA;6.5;0;0;0;0;0;0;1;0;0;0;0;0
236;C;LAZOVIC;7.5;1;0;0;0;0;0;0;0;1;0;1;0
2856;C;ROLON;6;0;0;0;0;0;0;1;0;0;0;0;0
621;C;ROMULO;6;0;0;0;0;0;0;0;0;0;0;0;0
2011;C;MIGUEL VELOSO;6;0;0;0;0;0;0;0;0;0;0;0;0
479;A;SANABRIA;7;1;0;0;0;0;0;0;0;0;0;0;0
2762;A;KOUAME';7;1;0;0;0;0;0;0;0;0;0;0;0
4310;ALL;PRANDELLI;7.5;0;0;0;0;0;0;0;0;0;0;0;0
INTER;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
250;P;HANDANOVIC;5.5;0;1;0;0;0;0;0;0;0;0;0;0
2289;D;DALBERT;5;0;0;0;0;0;0;1;0;0;0;0;0
253;D;D'AMBROSIO;5;0;0;0;0;0;0;1;0;0;0;0;0
322;D;DE VRIJ;6;0;0;0;0;0;0;1;0;0;0;0;0
257;D;MIRANDA;6;0;0;0;0;0;0;0;0;0;0;0;0
798;D;SKRINIAR;6.5;0;0;0;0;0;0;0;0;0;0;0;0
265;C;BROZOVIC;5.5;0;0;0;0;0;0;0;0;0;0;0;0
332;C;CANDREVA;6*;0;0;0;0;0;0;0;0;0;0;0;0
