ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
316;P;BERISHA E;6;0;0;0;0;0;0;0;0;0;0;0;0
2197;D;CASTAGNE;6.5;0;0;0;0;0;0;0;0;0;0;0;0
787;D;DJIMSITI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2130;D;HATEBOER;6.5;0;0;0;0;0;0;0;0;1;0;0;0
2296;D;MANCINI G;7.5;1;0;0;0;0;0;0;0;0;0;1;0
2739;D;RECA;6*;0;0;0;0;0;0;0;0;0;0;0;0
695;D;TOLOI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
22;C;DE ROON;6;0;0;0;0;0;0;0;0;0;0;0;0
177;C;ILICIC;6;0;0;0;0;0;0;0;0;0;0;0;0
2833;C;KULUSEVSKI;6;0;0;0;0;0;0;0;0;0;0;0;0
2077;C;PASALIC;7.5;0;0;0;0;0;0;0;0;2;0;0;0
2741;C;PESSINA;6.5;0;0;0;0;0;0;0;0;1;0;0;0
608;A;ZAPATA D;9;4;0;0;0;0;0;0;0;0;0;0;0
26;A;GOMEZ A;6.5;0;0;0;0;0;0;0;0;0;0;0;0
684;ALL;GASPERINI;8;0;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
133;P;SKORUPSKI;6;0;1;0;0;0;0;0;0;0;0;0;0
2745;D;CALABRESI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2746;D;DIJKS;6;0;0;0;0;0;0;0;0;0;0;0;0
615;D;HELANDER;5.5;0;0;0;0;0;0;1;0;0;0;0;0
578;D;DANILO LAR;7;0;0;0;0;0;0;0;0;0;0;0;0
2744;C;SVANBERG;6;0;0;0;0;0;0;0;0;0;0;0;0
2625;C;SORIANO;5.5;0;0;0;0;0;0;1;0;0;0;0;0
374;C;POLI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
644;C;PULGAR;5.5;0;0;0;0;0;0;1;0;0;0;0;0
2167;A;ORSOLINI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
280;A;PALACIO;7;1;0;0;0;0;0;0;0;0;0;0;0
2743;A;SANTANDER;6;0;0;0;0;0;0;0;0;0;0;0;0
537;A;SANSONE N;6;0;0;0;0;0;0;0;0;0;0;0;0
2748;ALL;INZAGHI F;6;0;0;0;0;0;0;0;0;0;0;0;0
CAGLIARI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
2178;P;CRAGNO;6;0;2;0;0;0;0;0;0;0;0;0;0
2279;D;ROMAGNA;6;0;0;0;0;0;0;0;0;0;0;0;0
2749;D;SRNA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2116;D;FARAGO';5.5;0;0;0;0;0;0;0;0;0;0;0;0
1869;D;PISACANE;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2854;C;BRADARIC;5.5;0;0;0;0;0;0;0;0;0;0;0;0
1870;C;BARELLA;6;0;0;0;0;0;0;0;0;1;0;0;0
20;C;CIGARINI;6;0;0;0;0;0;0;0;0;0;0;0;0
627;C;IONITA;6.5;0;0;0;0;0;0;0;0;1;0;0;0
1874;C;JOAO PEDRO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
301;C;PADOIN;6;0;0;0;0;0;0;0;0;0;0;0;0
111;C;BIRSA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
1879;A;FARIAS;7;1;0;0;0;0;0;0;0;0;0;0;1
247;A;PAVOLETTI;7;1;0;0;0;0;0;0;0;0;0;0;0
680;ALL;MARAN;6;0;0;0;0;0;0;0;0;0;0;0;0
CHIEVO;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
413;P;SORRENTINO;7;0;3;1;0;0;0;0;0;0;0;0;0
2285;D;BANI;4.5;0;0;0;0;0;0;1;0;0;0;0;0
2208;D;JAROSZYNSKI;6;0;0;0;0;0;0;0;0;0;0;0;0
169;D;TOMOVIC;5.5;0;0;0;0;0;0;0;0;0;0;0;0
54;D;ROSSETTINI;6;0;0;0;0;0;0;0;0;0;0;0;0
2141;C;DEPAOLI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
702;C;GIACCHERINI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
115;C;HETEMAJ;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2107;C;KIYINE;5.5;0;0;0;0;0;0;1;0;0;0;0;0
118;C;RADOVANOVIC;5;0;0;0;0;0;0;0;0;0;0;0;0
2154;C;VIGNATO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2327;A;STEPINSKI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
124;A;MEGGIORINI;5;0;0;0;0;0;0;0;0;0;0;0;0
127;A;PELLISSIER;5;0;0;0;0;0;0;0;0;0;0;0;0
4309;ALL;DI CARLO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
EMPOLI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
2814;P;PROVEDEL;6;0;2;0;0;0;0;0;0;0;0;0;0
492;D;SILVESTRE;6;0;0;0;0;0;0;0;0;0;0;0;0
2816;D;DI LORENZO;6.5;1;0;0;0;0;0;0;0;0;0;0;0
166;D;PASQUAL;6.5;0;0;0;0;0;0;0;0;1;0;0;0
2752;D;RASMUSSEN;6;0;0;0;0;0;0;0;0;0;0;0;0
2064;D;VESELI;4.5;0;0;0;0;0;0;0;0;0;0;0;0
2857;C;TRAORE' HJ;6.5;0;0;0;0;0;0;0;0;0;0;0;0
555;C;ACQUAH;6;0;0;0;0;0;0;0;0;0;0;0;0
56;C;BRIGHI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2124;C;ZAJC;7;1;0;0;0;0;0;0;0;0;0;0;0
471;C;UCAN;6;0;0;0;0;0;0;0;0;0;0;0;0
2819;A;CAPUTO;6;0;0;0;0;0;0;0;0;1;0;0;0
718;A;RODRIGUEZ A;6;0;0;0;0;0;0;0;0;0;0;0;0
689;ALL;IACHINI;6;0;0;0;0;0;0;0;0;0;0;0;0
FIORENTINA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
2387;P;LAFONT;6;0;3;0;0;0;0;0;0;0;0;0;0
252;D;BIRAGHI;5.5;0;0;0;0;0;0;1;0;0;0;0;0
141;D;LAURINI;6;0;0;0;0;0;0;0;0;0;0;0;0
2164;D;MILENKOVIC;5;0;0;0;0;0;0;1;0;0;0;0;0
2309;D;PEZZELLA GER;6.5;1;0;0;0;0;0;0;0;0;0;0;1
2165;D;VITOR HUGO;5;0;0;0;0;0;0;1;0;0;0;0;0
2002;C;CHIESA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
