ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
316;P;BERISHA E;6.5;0;0;0;0;0;0;1;0;0;0;0;0
2197;D;CASTAGNE;6.5;0;0;0;0;0;0;0;0;0;0;0;0
787;D;DJIMSITI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2130;D;HATEBOER;7;1;0;0;0;0;0;0;0;0;0;1;0
2181;D;PALOMINO;7;0;0;0;0;0;0;0;0;0;0;0;0
695;D;TOLOI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
22;C;DE ROON;5.5;0;0;0;0;0;0;0;0;0;0;0;0
788;C;FREULER;6.5;0;0;0;0;0;0;0;0;0;0;0;0
177;C;ILICIC;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2077;C;PASALIC;5.5;0;0;0;0;0;0;1;0;0;0;0;0
26;A;GOMEZ A;5.5;0;0;0;0;0;0;0;0;0;0;0;0
608;A;ZAPATA D;5;0;0;0;0;0;0;0;0;0;0;0;0
684;ALL;GASPERINI;7;0;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
133;P;SKORUPSKI;7;0;0;0;0;0;0;0;0;0;0;0;0
578;D;DANILO LAR;7;0;0;0;0;0;0;1;0;0;0;0;0
2746;D;DIJKS;6.5;0;0;0;0;0;0;0;0;0;0;0;0
419;D;GONZALEZ G;6.5;0;0;0;0;0;0;0;0;0;0;0;0
50;D;MBAYE;6.5;0;0;0;0;0;0;1;0;0;0;0;0
2171;D;LYANCO;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2625;C;SORIANO;6.5;0;0;0;0;0;0;0;0;0;0;0;0
1858;C;KREJCI;6;0;0;0;0;0;0;0;0;0;0;0;0
374;C;POLI;6;0;0;0;0;0;0;0;0;0;0;0;0
644;C;PULGAR;6;0;0;0;0;0;0;0;0;0;1;0;0
472;A;DESTRO;6*;0;0;0;0;0;0;0;0;0;0;0;0
2167;A;ORSOLINI;6;0;0;0;0;0;0;0;0;0;0;0;0
280;A;PALACIO;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2743;A;SANTANDER;7;1;0;0;0;0;0;0;0;0;0;1;0
687;ALL;MIHAJLOVIC;7;0;0;0;0;0;0;0;0;0;0;0;0
CAGLIARI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
2178;P;CRAGNO;6.5;0;1;0;0;0;0;0;0;0;0;0;0
1869;D;PISACANE;6;0;0;0;0;0;0;0;0;0;0;0;0
2279;D;ROMAGNA;7;0;0;0;0;0;0;0;0;0;0;0;0
2728;D;PELLEGRINI LU;6;0;0;0;0;0;0;0;0;0;0;0;0
1866;D;CEPPITELLI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2116;D;FARAGO';6;0;0;0;0;0;0;0;0;0;0;0;0
